year,sbi_1yr_fd_pct
1979,9.0
1980,9.0
1981,9.0
1982,9.0
1983,9.0
1984,10.0
1985,10.0
1986,10.0
1987,10.0
1988,10.0
1989,10.0
1990,11.0
1991,12.0
1992,12.0
1993,11.0
1994,11.0
1995,12.0
1996,12.0
1997,11.0
1998,11.0
1999,10.5
2000,10.0
2001,9.5
2002,8.0
2003,6.0
2004,5.25
2005,6.25
2006,7.5
2007,9.0
2008,8.5
2009,6.5
2010,7.75
2011,9.25
2012,9.0
2013,8.75
2014,9.0
2015,7.5
2016,7.25
2017,6.5
2018,6.75
2019,6.4
2020,5.4
2021,5.1
2022,6.1
2023,6.8
2024,6.8
2025,6.5
