date,NIFTY50,SENSEX,BANKNIFTY,NIFTY500
2009-07-31,4636.4502,15670.3096,7544.4121,3764.0952
2009-08-31,4662.1001,15666.6396,7431.5635,3840.2449
2009-09-30,5083.9502,17126.8398,8812.2471,4118.6445
2009-10-31,4711.7002,15896.2803,8438.5020,3853.1448
2009-11-30,5032.7002,16926.2207,9046.8447,4145.4448
2009-12-31,5201.0498,17464.8105,9029.3955,4329.0942
2010-01-31,4882.0498,16357.9600,8651.4492,4156.0444
2010-02-28,4922.2998,16429.5508,8722.6484,4127.5444
2010-03-31,5249.1001,17527.7695,9459.4893,4313.2441
2010-04-30,5278.0000,17558.7109,9870.2354,4368.0942
2010-05-31,5086.2998,16944.6309,9363.5918,4226.5947
2010-06-30,5312.5000,17700.9004,9464.4893,4420.6943
2010-07-31,5367.6001,17868.2891,10160.8818,4475.1440
2010-08-31,5402.3999,17971.1191,10746.2246,4537.2441
2010-09-30,6029.9502,20069.1191,12366.2061,4925.1436
2010-10-31,6017.7002,20032.3398,12330.6064,4972.9438
2010-11-30,5862.7002,19521.2500,11952.4609,4781.3936
2010-12-31,6134.5000,20509.0898,11791.3135,4940.9438
2011-01-31,5505.8999,18327.7598,10641.7256,4424.5942
2011-02-28,5333.2500,17823.4004,10435.2285,4247.1445
2011-03-31,5833.7500,19445.2207,11705.3145,4626.4443
2011-04-30,5749.5000,19135.9609,11483.6162,4615.2939
2011-05-31,5473.1001,18503.2793,11020.7217,4492.8940
2011-06-30,5647.3999,18845.8691,11244.5195,4522.9443
2011-07-31,5482.0000,18197.1992,10893.5234,4424.0439
2011-08-31,5001.0000,16676.7500,9533.2900,4038.3447
2011-09-30,4943.2500,16453.7598,9468.1895,3978.3450
2011-10-31,5326.6001,17705.0098,9989.5342,4215.8945
2011-11-30,4832.0498,16123.4600,8564.0000,3811.2451
2011-12-31,4624.2998,15454.9199,7968.5571,3597.7454
2012-01-31,5199.2500,17193.5508,9919.3350,4082.8447
2012-02-29,5385.2002,17752.6797,10414.0791,4275.5444
2012-03-31,5295.5498,17404.1992,10212.6309,4221.7944
2012-04-30,5248.1499,17318.8105,10276.6807,4178.3447
2012-05-31,4924.2500,16218.5303,9440.8906,3913.0449
2012-06-30,5278.8999,17429.9805,10340.5303,4170.6445
2012-07-31,5229.0000,17236.1797,10383.9785,4126.4448
2012-08-31,5258.5000,17380.7500,9990.3838,4129.8945
2012-09-30,5703.2998,18762.7402,11456.6670,4504.3442
2012-10-31,5619.7002,18505.3809,11268.6689,4448.8442
